title,year,rate,based on
The Shawshank Redemption,1994,9.2,"2,729,504 user ratings"
The Godfather,1972,9.2,"1,897,742 user ratings"
The Dark Knight,2008,9.0,"2,702,558 user ratings"
The Godfather Part II,1974,9.0,"1,294,016 user ratings"
12 Angry Men,1957,9.0,"807,477 user ratings"
Schindler's List,1993,8.9,"1,378,254 user ratings"
The Lord of the Rings: The Return of the King,2003,8.9,"1,877,714 user ratings"
Pulp Fiction,1994,8.8,"2,097,212 user ratings"
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"1,906,734 user ratings"
"The Good, the Bad and the Ugly",1966,8.8,"773,685 user ratings"
Forrest Gump,1994,8.8,"2,123,486 user ratings"
Fight Club,1999,8.7,"2,172,483 user ratings"
The Lord of the Rings: The Two Towers,2002,8.7,"1,695,184 user ratings"
Inception,2010,8.7,"2,398,703 user ratings"
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"1,314,135 user ratings"
The Matrix,1999,8.7,"1,947,308 user ratings"
Goodfellas,1990,8.7,"1,184,644 user ratings"
One Flew Over the Cuckoo's Nest,1975,8.6,"1,023,929 user ratings"
Se7en,1995,8.6,"1,687,080 user ratings"
It's a Wonderful Life,1946,8.6,"470,100 user ratings"
Seven Samurai,1954,8.6,"351,305 user ratings"
The Silence of the Lambs,1991,8.6,"1,459,633 user ratings"
Saving Private Ryan,1998,8.6,"1,416,189 user ratings"
City of God,2002,8.6,"767,666 user ratings"
Interstellar,2014,8.6,"1,892,324 user ratings"
Life Is Beautiful,1997,8.6,"707,719 user ratings"
The Green Mile,1999,8.6,"1,327,188 user ratings"
Star Wars: Episode IV - A New Hope,1977,8.5,"1,386,510 user ratings"
Terminator 2: Judgment Day,1991,8.5,"1,117,652 user ratings"
Back to the Future,1985,8.5,"1,230,706 user ratings"
Spirited Away,2001,8.5,"783,561 user ratings"
The Pianist,2002,8.5,"850,353 user ratings"
Psycho,1960,8.5,"683,945 user ratings"
Parasite,2019,8.5,"843,601 user ratings"
Léon: The Professional,1994,8.5,"1,182,592 user ratings"
The Lion King,1994,8.5,"1,078,853 user ratings"
Gladiator,2000,8.5,"1,527,624 user ratings"
American History X,1998,8.5,"1,138,738 user ratings"
The Departed,2006,8.5,"1,348,973 user ratings"
Whiplash,2014,8.5,"895,363 user ratings"
The Prestige,2006,8.5,"1,357,311 user ratings"
The Usual Suspects,1995,8.5,"1,100,149 user ratings"
Casablanca,1942,8.5,"580,997 user ratings"
Grave of the Fireflies,1988,8.5,"285,136 user ratings"
Harakiri,1962,8.5,"60,249 user ratings"
The Intouchables,2011,8.5,"876,589 user ratings"
Modern Times,1936,8.4,"247,128 user ratings"
Once Upon a Time in the West,1968,8.4,"335,611 user ratings"
Cinema Paradiso,1988,8.4,"266,848 user ratings"
Rear Window,1954,8.4,"499,770 user ratings"
Alien,1979,8.4,"898,529 user ratings"
City Lights,1931,8.4,"187,768 user ratings"
Apocalypse Now,1979,8.4,"679,129 user ratings"
Memento,2000,8.4,"1,257,911 user ratings"
Django Unchained,2012,8.4,"1,589,389 user ratings"
Raiders of the Lost Ark,1981,8.4,"981,762 user ratings"
WALL·E,2008,8.4,"1,136,549 user ratings"
The Lives of Others,2006,8.4,"395,256 user ratings"
Sunset Blvd.,1950,8.4,"225,877 user ratings"
Paths of Glory,1957,8.4,"201,353 user ratings"
The Shining,1980,8.4,"1,042,996 user ratings"
The Great Dictator,1940,8.4,"227,719 user ratings"
Avengers: Infinity War,2018,8.4,"1,112,709 user ratings"
Witness for the Prosecution,1957,8.4,"128,724 user ratings"
Aliens,1986,8.3,"729,215 user ratings"
Spider-Man: Into the Spider-Verse,2018,8.3,"555,050 user ratings"
American Beauty,1999,8.3,"1,169,616 user ratings"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,"498,363 user ratings"
The Dark Knight Rises,2012,8.3,"1,732,898 user ratings"
Oldboy,2003,8.3,"592,482 user ratings"
Inglourious Basterds,2009,8.3,"1,482,415 user ratings"
Amadeus,1984,8.3,"408,101 user ratings"
Coco,2017,8.3,"528,388 user ratings"
Toy Story,1995,8.3,"1,012,432 user ratings"
Braveheart,1995,8.3,"1,051,858 user ratings"
Joker,2019,8.3,"1,339,729 user ratings"
Das Boot,1981,8.3,"254,622 user ratings"
Avengers: Endgame,2019,8.3,"1,168,276 user ratings"
Princess Mononoke,1997,8.3,"404,092 user ratings"
Once Upon a Time in America,1984,8.3,"358,498 user ratings"
Good Will Hunting,1997,8.3,"996,714 user ratings"
Your Name.,2016,8.3,"281,959 user ratings"
Singin' in the Rain,1952,8.3,"247,716 user ratings"
3 Idiots,2009,8.3,"408,770 user ratings"
Requiem for a Dream,2000,8.3,"857,652 user ratings"
High and Low,1963,8.3,"47,308 user ratings"
Toy Story 3,2010,8.3,"850,834 user ratings"
Capernaum,2018,8.3,"94,038 user ratings"
Star Wars: Episode VI - Return of the Jedi,1983,8.3,"1,071,512 user ratings"
2001: A Space Odyssey,1968,8.3,"681,745 user ratings"
Eternal Sunshine of the Spotless Mind,2004,8.3,"1,026,346 user ratings"
Come and See,1985,8.3,"84,616 user ratings"
Reservoir Dogs,1992,8.3,"1,037,733 user ratings"
The Hunt,2012,8.3,"339,001 user ratings"
Citizen Kane,1941,8.2,"448,787 user ratings"
Lawrence of Arabia,1962,8.2,"299,777 user ratings"
M,1931,8.2,"161,039 user ratings"
Ikiru,1952,8.2,"81,208 user ratings"
North by Northwest,1959,8.2,"333,317 user ratings"
Vertigo,1958,8.2,"409,215 user ratings"
The Apartment,1960,8.2,"185,709 user ratings"
Amélie,2001,8.2,"767,066 user ratings"
Double Indemnity,1944,8.2,"160,176 user ratings"
A Clockwork Orange,1971,8.2,"844,003 user ratings"
Full Metal Jacket,1987,8.2,"754,903 user ratings"
Scarface,1983,8.2,"860,421 user ratings"
Hamilton,2020,8.2,"100,069 user ratings"
Incendies,2010,8.2,"182,578 user ratings"
Heat,1995,8.2,"669,580 user ratings"
To Kill a Mockingbird,1962,8.2,"321,081 user ratings"
Up,2009,8.2,"1,063,426 user ratings"
The Sting,1973,8.2,"268,485 user ratings"
A Separation,2011,8.2,"248,608 user ratings"
Metropolis,1927,8.2,"177,505 user ratings"
L.A. Confidential,1997,8.2,"590,961 user ratings"
Taxi Driver,1976,8.2,"857,017 user ratings"
Die Hard,1988,8.2,"898,012 user ratings"
Indiana Jones and the Last Crusade,1989,8.2,"767,662 user ratings"
Snatch,2000,8.2,"870,225 user ratings"
Bicycle Thieves,1948,8.2,"166,764 user ratings"
Like Stars on Earth,2007,8.2,"197,097 user ratings"
1917,2019,8.2,"614,658 user ratings"
Top Gun: Maverick,2022,8.2,"571,199 user ratings"
Downfall,2004,8.2,"361,060 user ratings"
Dangal,2016,8.2,"196,125 user ratings"
For a Few Dollars More,1965,8.2,"261,678 user ratings"
Batman Begins,2005,8.2,"1,495,496 user ratings"
The Kid,1921,8.2,"128,758 user ratings"
Some Like It Hot,1959,8.2,"272,063 user ratings"
The Father,2020,8.2,"165,168 user ratings"
All About Eve,1950,8.2,"133,547 user ratings"
The Wolf of Wall Street,2013,8.2,"1,451,620 user ratings"
Green Book,2018,8.2,"513,558 user ratings"
Judgment at Nuremberg,1961,8.2,"79,463 user ratings"
Ran,1985,8.2,"128,390 user ratings"
Casino,1995,8.2,"531,633 user ratings"
The Truman Show,1998,8.2,"1,109,409 user ratings"
There Will Be Blood,2007,8.2,"599,059 user ratings"
Pan's Labyrinth,2006,8.2,"678,585 user ratings"
Unforgiven,1992,8.2,"418,967 user ratings"
The Sixth Sense,1999,8.2,"1,007,051 user ratings"
Shutter Island,2010,8.2,"1,350,556 user ratings"
A Beautiful Mind,2001,8.2,"946,481 user ratings"
Jurassic Park,1993,8.2,"1,008,553 user ratings"
Yojimbo,1961,8.1,"125,313 user ratings"
The Treasure of the Sierra Madre,1948,8.1,"127,266 user ratings"
Monty Python and the Holy Grail,1975,8.1,"549,683 user ratings"
No Country for Old Men,2007,8.1,"995,536 user ratings"
Kill Bill: Vol. 1,2003,8.1,"1,135,201 user ratings"
The Great Escape,1963,8.1,"248,570 user ratings"
Rashomon,1950,8.1,"171,961 user ratings"
The Thing,1982,8.1,"435,854 user ratings"
Spider-Man: No Way Home,2021,8.1,"786,631 user ratings"
Finding Nemo,2003,8.1,"1,061,351 user ratings"
The Elephant Man,1980,8.1,"246,624 user ratings"
Chinatown,1974,8.1,"333,176 user ratings"
Raging Bull,1980,8.1,"361,218 user ratings"
V for Vendetta,2005,8.1,"1,136,768 user ratings"
Gone with the Wind,1939,8.1,"321,238 user ratings"
"Lock, Stock and Two Smoking Barrels",1998,8.1,"592,676 user ratings"
Dial M for Murder,1954,8.1,"179,749 user ratings"
Inside Out,2015,8.1,"731,385 user ratings"
Howl's Moving Castle,2004,8.1,"408,146 user ratings"
The Secret in Their Eyes,2009,8.1,"213,252 user ratings"
"Three Billboards Outside Ebbing, Missouri",2017,8.1,"522,768 user ratings"
Trainspotting,1996,8.1,"698,383 user ratings"
The Bridge on the River Kwai,1957,8.1,"224,789 user ratings"
Prisoners,2013,8.1,"739,303 user ratings"
Fargo,1996,8.1,"689,747 user ratings"
Warrior,2011,8.1,"480,120 user ratings"
Gran Torino,2008,8.1,"786,605 user ratings"
Catch Me If You Can,2002,8.1,"1,013,131 user ratings"
My Neighbor Totoro,1988,8.1,"349,862 user ratings"
John Wick: Chapter 4,2023,8.1,"120,975 user ratings"
Million Dollar Baby,2004,8.1,"697,499 user ratings"
Children of Heaven,1997,8.1,"76,302 user ratings"
Blade Runner,1982,8.1,"784,050 user ratings"
The Gold Rush,1925,8.1,"113,422 user ratings"
Klaus,2019,8.1,"164,722 user ratings"
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"895,531 user ratings"
Before Sunrise,1995,8.1,"318,142 user ratings"
12 Years a Slave,2013,8.1,"713,024 user ratings"
Ben-Hur,1959,8.1,"244,234 user ratings"
On the Waterfront,1954,8.1,"157,951 user ratings"
The Grand Budapest Hotel,2014,8.1,"832,381 user ratings"
Gone Girl,2014,8.1,"1,003,343 user ratings"
Wild Strawberries,1957,8.1,"109,514 user ratings"
The General,1926,8.1,"93,461 user ratings"
Barry Lyndon,1975,8.1,"172,767 user ratings"
In the Name of the Father,1993,8.1,"179,092 user ratings"
The Deer Hunter,1978,8.1,"345,395 user ratings"
The Third Man,1949,8.1,"174,757 user ratings"
Hacksaw Ridge,2016,8.1,"544,614 user ratings"
The Wages of Fear,1953,8.1,"62,889 user ratings"
Memories of Murder,2003,8.1,"193,688 user ratings"
Wild Tales,2014,8.1,"203,909 user ratings"
Sherlock Jr.,1924,8.1,"51,957 user ratings"
Mr. Smith Goes to Washington,1939,8.1,"117,225 user ratings"
Mad Max: Fury Road,2015,8.1,"1,024,047 user ratings"
Mary and Max,2009,8.1,"180,165 user ratings"
The Seventh Seal,1957,8.1,"189,006 user ratings"
How to Train Your Dragon,2010,8.1,"756,800 user ratings"
"Monsters, Inc.",2001,8.1,"927,045 user ratings"
Dead Poets Society,1989,8.1,"505,968 user ratings"
Jaws,1975,8.1,"620,108 user ratings"
Room,2015,8.1,"429,689 user ratings"
The Big Lebowski,1998,8.1,"823,164 user ratings"
Tokyo Story,1953,8.1,"63,702 user ratings"
The Passion of Joan of Arc,1928,8.1,"56,918 user ratings"
Ford v Ferrari,2019,8.1,"412,651 user ratings"
Hotel Rwanda,2004,8.0,"360,813 user ratings"
Rocky,1976,8.0,"594,762 user ratings"
Platoon,1986,8.0,"421,639 user ratings"
Ratatouille,2007,8.0,"760,046 user ratings"
Spotlight,2015,8.0,"479,906 user ratings"
Logan,2017,8.0,"782,114 user ratings"
The Terminator,1984,8.0,"881,254 user ratings"
Stand by Me,1986,8.0,"414,684 user ratings"
Rush,2013,8.0,"488,844 user ratings"
Network,1976,8.0,"162,730 user ratings"
Before Sunset,2004,8.0,"272,087 user ratings"
Into the Wild,2007,8.0,"632,772 user ratings"
The Wizard of Oz,1939,8.0,"408,398 user ratings"
The Best Years of Our Lives,1946,8.0,"66,717 user ratings"
The Exorcist,1973,8.0,"418,349 user ratings"
Groundhog Day,1993,8.0,"647,271 user ratings"
The Incredibles,2004,8.0,"756,289 user ratings"
To Be or Not to Be,1942,8.0,"39,290 user ratings"
La haine,1995,8.0,"179,874 user ratings"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,"1,147,778 user ratings"
Pather Panchali,1955,8.0,"34,709 user ratings"
Hachi: A Dog's Tale,2009,8.0,"293,128 user ratings"
The Battle of Algiers,1966,8.0,"62,050 user ratings"
The Grapes of Wrath,1940,8.0,"95,688 user ratings"
Jai Bhim,2021,8.0,"205,804 user ratings"
My Father and My Son,2005,8.0,"87,925 user ratings"
Amores Perros,2000,8.0,"244,605 user ratings"
Rebecca,1940,8.0,"140,227 user ratings"
The Handmaiden,2016,8.0,"155,310 user ratings"
Cool Hand Luke,1967,8.0,"180,802 user ratings"
The Sound of Music,1965,8.0,"243,217 user ratings"
The 400 Blows,1959,8.0,"121,467 user ratings"
It Happened One Night,1934,8.0,"106,747 user ratings"
Persona,1966,8.0,"122,817 user ratings"
Life of Brian,1979,8.0,"407,249 user ratings"
The Iron Giant,1999,8.0,"207,044 user ratings"
The Help,2011,8.0,"469,994 user ratings"
Aladdin,1992,8.0,"433,193 user ratings"
Dersu Uzala,1975,8.0,"31,588 user ratings"
Dances with Wolves,1990,8.0,"274,601 user ratings"
